group,path,w,h,canvas,opaque,unique_colors,colors_per_sqrt,pixels_per_color,exact_clusters,exact_mean_cluster,exact_median_cluster,exact_speckle_ratio,exact_readable_clusters,q32_clusters,q32_mean_cluster,q32_median_cluster,q32_speckle_ratio,q32_readable_clusters,q32_colors,q32_colors_per_sqrt,q32_pixels_per_color
lpc_prop,art_style_demo/shared/imported/lpc_blacksmith/props/bellows_a.png,75,25,1875,916,13,0.42953209029580836,70.46153846153847,133,6.887218045112782,3.0,0.45864661654135336,59,133,6.887218045112782,3.0,0.45864661654135336,59,13,0.42953209029580836,70.46153846153847
lpc_prop,art_style_demo/shared/imported/lpc_blacksmith/props/bellows_c.png,43,22,946,654,8,0.31282475480231003,81.75,111,5.891891891891892,2.0,0.5315315315315315,36,111,5.891891891891892,2.0,0.5315315315315315,36,8,0.31282475480231003,81.75
lpc_prop,art_style_demo/shared/imported/lpc_blacksmith/props/bellows_e.png,43,20,860,600,8,0.32659863237109044,75.0,89,6.741573033707865,3.0,0.3258426966292135,40,89,6.741573033707865,3.0,0.3258426966292135,40,8,0.32659863237109044,75.0
lpc_prop,art_style_demo/shared/imported/lpc_blacksmith/props/coal_pile_c.png,91,43,3913,2604,5,0.09798272520870256,520.8,405,6.42962962962963,3.0,0.48148148148148145,78,405,6.42962962962963,3.0,0.48148148148148145,78,5,0.09798272520870256,520.8
lpc_prop,art_style_demo/shared/imported/lpc_blacksmith/props/coal_pile_large.png,111,47,5217,3605,5,0.08327552317491303,721.0,529,6.814744801512287,3.0,0.44801512287334594,105,529,6.814744801512287,3.0,0.44801512287334594,105,5,0.08327552317491303,721.0
lpc_prop,art_style_demo/shared/imported/lpc_blacksmith/props/forge_chimney_lit.png,62,190,11780,5546,20,0.2685592176258329,277.3,877,6.323831242873432,2.0,0.5952109464082098,280,869,6.38204833141542,2.0,0.5983889528193326,276,18,0.24170329586324962,308.1111111111111
lpc_prop,art_style_demo/shared/imported/lpc_blacksmith/props/forge_round_lit.png,128,180,23040,12315,18,0.16220166092347432,684.1666666666666,1671,7.36983842010772,2.0,0.5553560742070617,601,1652,7.454600484261501,2.0,0.5532687651331719,598,16,0.1441792541541994,769.6875
lpc_prop,art_style_demo/shared/imported/lpc_blacksmith/props/forge_wall_lit.png,128,96,12288,11438,14,0.13090402176058877,817.0,875,13.072,6.0,0.256,517,875,13.072,6.0,0.256,517,14,0.13090402176058877,817.0
lpc_prop,art_style_demo/shared/imported/lpc_blacksmith/props/hammer_tool.png,44,34,1496,541,4,0.1719734321569391,135.25,76,7.118421052631579,1.5,0.75,10,76,7.118421052631579,1.5,0.75,10,3,0.12898007411770432,180.33333333333334
lpc_prop,art_style_demo/shared/imported/lpc_blacksmith/props/horseshoe.png,24,19,456,388,6,0.30460384954008574,64.66666666666667,82,4.7317073170731705,1.0,0.7317073170731707,18,82,4.7317073170731705,1.0,0.7317073170731707,18,6,0.30460384954008574,64.66666666666667
lpc_prop,art_style_demo/shared/imported/lpc_blacksmith/props/quench_barrel.png,64,64,4096,3797,10,0.16228549384254828,379.7,283,13.416961130742049,4.0,0.3745583038869258,153,283,13.416961130742049,4.0,0.3745583038869258,153,10,0.16228549384254828,379.7
